City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Bhatkal,IN,76.75,overcast clouds,13.9667,74.5667,Nilawar Palace Lodge
303,Baillif,GP,85.5,overcast clouds,16.0202,-61.7463,Hôtel Saint-Georges
308,Kahului,US,79.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
312,Abu Zabad,SD,80.29,light rain,12.35,29.25,حامد محمد نور
314,Manokwari,ID,76.93,few clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
317,Nara,JP,78.12,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
320,Salsomaggiore Terme,IT,80.91,clear sky,44.8148,9.9796,Hotel Ferrari
323,Kihei,US,79.84,few clouds,20.785,-156.4656,Maui Sunset
326,Banda Aceh,ID,79.02,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
330,Zambezi,ZM,76.24,broken clouds,-13.5432,23.1047,Royal Kutachika Lodge
334,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
343,Dingle,PH,75.22,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
344,Bataipora,BR,77.32,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
346,Kattivakkam,IN,84.29,overcast clouds,13.2167,80.3167,Euronova Freezer
347,Garowe,SO,85.12,scattered clouds,8.4054,48.4845,Curubo Hotel
349,Labrea,BR,89.82,broken clouds,-7.2586,-64.7981,Hotel Novo Horizonte
356,Rach Gia,VN,81.52,overcast clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
357,Labuhan,ID,78.49,broken clouds,-6.8844,112.2051,DoubleFAG
360,Fuerte Olimpo,PY,80.76,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
364,Matara,LK,76.44,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
366,Ende,ID,75.81,scattered clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
367,Guanaja,HN,83.55,broken clouds,16.4,-85.9,Parrot Beach
369,Hobyo,SO,76.82,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
370,Presidencia Roque Saenz Pena,AR,80.33,clear sky,-26.7852,-60.4388,Hotel Gualok
372,Ugoofaaru,MV,80.92,clear sky,5.6667,73.0,Ungoofaaru Inn
373,Tayu,ID,78.39,light rain,-6.5397,111.0518,Toko pakaian bu is Tayu
375,Mayumba,GA,75.0,overcast clouds,-3.432,10.6554,LIKWALE LODGE
376,Meadow Lake,US,77.22,clear sky,34.8014,-106.5436,TumbleWeed RV Park
380,Aneho,TG,77.2,light rain,6.2333,1.6,Hotel La Linette
381,Corumba,BR,75.11,overcast clouds,-19.0092,-57.6533,Hotel Laura Vicunha
383,Iberia,US,86.05,clear sky,29.9502,-91.7507,back to back rv park
385,Kieta,PG,77.13,light rain,-6.2167,155.6333,Uruna Bay Retreat
387,Honiara,SB,76.5,few clouds,-9.4333,159.95,Heritage Park Hotel
390,Alugan,PH,78.89,light rain,12.2188,125.4808,JM Lodge
391,Mersing,MY,75.11,scattered clouds,2.4312,103.8405,Timotel Hotel
396,Semnan,IR,80.44,clear sky,35.5729,53.3971,Semnan Tourist Hotel
398,Itoman,JP,82.78,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
399,Moa,CU,87.87,overcast clouds,20.6569,-74.9403,Carmen
401,Nador,MA,80.67,clear sky,35.174,-2.9287,Hôtel La Giralda
402,Lorengau,PG,81.79,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
403,Cam Ranh,VN,75.16,broken clouds,11.9214,109.1591,OYO 598 Peony Hotel
404,Constantine,DZ,89.01,scattered clouds,36.365,6.6147,Grand Hotel Cirta
406,Ahuimanu,US,78.78,light rain,21.4447,-157.8378,Paradise Bay Resort
407,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
408,Mumford,GH,75.97,broken clouds,5.2618,-0.759,Spanish Villa
417,Lexington,US,80.49,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
421,Trat,TH,80.87,light rain,12.5,102.5,สวนหนิง-อัศ
427,Bam,IR,88.41,clear sky,29.106,58.357,Bam Tourist Hotel
436,Punto Fijo,VE,88.5,few clouds,11.6956,-70.1996,Santa Fe Inn Hotel
438,Pundaguitan,PH,83.53,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
