City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
69,Luderitz,NA,-26.6481,15.1594,62.92,65,4,4.09,clear sky
70,Micomeseng,GQ,2.1462,10.6164,71.42,97,98,4.59,light rain
71,Mahebourg,MU,-20.4081,57.7,71.89,73,40,17.27,scattered clouds
72,Jamestown,US,42.097,-79.2353,68.02,49,0,3.0,clear sky
73,Zhigansk,RU,66.7697,123.3711,33.82,80,75,9.8,broken clouds
74,Saint-Philippe,RE,-21.3585,55.7679,71.19,82,35,14.41,light rain
75,Saint George,US,37.1041,-113.5841,78.64,59,0,4.61,clear sky
76,Atuona,PF,-9.8,-139.0333,77.07,65,48,16.42,scattered clouds
77,Hamilton,US,39.1834,-84.5333,82.89,62,20,1.99,few clouds
78,Arraial Do Cabo,BR,-22.9661,-42.0278,69.76,94,100,5.75,overcast clouds
79,Sao Luiz Gonzaga,BR,-28.4083,-54.9608,65.66,58,29,9.82,scattered clouds
80,Nuevo Progreso,MX,23.1667,-97.95,83.8,68,16,4.81,light rain
81,Geraldton,AU,-28.7667,114.6,54.01,94,100,5.75,overcast clouds
82,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,18.41,broken clouds
83,Busselton,AU,-33.65,115.3333,55.85,81,100,8.88,overcast clouds
84,Eureka,US,40.8021,-124.1637,63.68,87,68,1.01,broken clouds
85,Coracora,PE,-15.0333,-73.7833,65.82,13,7,13.06,clear sky
86,Hami,CN,42.8,93.45,67.98,27,4,12.53,clear sky
87,Khatanga,RU,71.9667,102.5,33.04,86,100,11.27,overcast clouds
88,Conceicao Do Araguaia,BR,-8.2578,-49.2647,108.52,11,7,4.7,clear sky
89,Mogadishu,SO,2.0371,45.3438,76.84,86,38,15.39,scattered clouds
90,Acarau,BR,-2.8856,-40.12,86.43,58,2,21.3,clear sky
91,Foumban,CM,5.7291,10.9001,67.98,91,100,2.62,moderate rain
92,Byron Bay,AU,-28.65,153.6167,64.94,75,100,19.28,moderate rain
93,Black River,JM,18.0264,-77.8487,90.07,55,50,11.48,scattered clouds
94,San Quintin,MX,30.4833,-115.95,70.52,74,77,11.83,broken clouds
95,Gillette,US,44.2911,-105.5022,61.11,72,100,6.91,overcast clouds
96,Jagdalpur,IN,19.0667,82.0333,71.62,95,88,4.74,overcast clouds
97,Upernavik,GL,72.7868,-56.1549,40.17,95,100,16.28,light rain
98,Maniitsoq,GL,65.4167,-52.9,43.18,97,100,6.96,moderate rain
99,Meulaboh,ID,4.1363,96.1285,77.52,87,89,4.92,overcast clouds
100,Sitka,US,57.0531,-135.33,53.49,82,100,5.75,overcast clouds
101,Alyangula,AU,-13.8483,136.4192,75.88,87,3,8.93,clear sky
102,Georgetown,MY,5.4112,100.3354,79.95,88,40,2.3,heavy intensity rain
103,Harrismith,ZA,-28.2728,29.1295,64.44,29,60,4.41,broken clouds
104,Hermanus,ZA,-34.4187,19.2345,59.81,89,92,2.89,overcast clouds
105,Atar,MR,20.5169,-13.0499,104.5,16,18,10.74,few clouds
106,Sao Filipe,CV,14.8961,-24.4956,80.22,81,96,4.25,moderate rain
107,Ahipara,NZ,-35.1667,173.1667,49.12,74,27,8.3,scattered clouds
108,Tateyama,JP,34.9833,139.8667,70.11,72,100,8.46,overcast clouds
109,Kilkenny,IE,52.6542,-7.2522,60.73,78,100,1.01,overcast clouds
110,Yellowknife,CA,62.456,-114.3525,57.72,72,75,10.36,broken clouds
111,Gimli,CA,50.6336,-96.9907,57.22,88,99,18.41,overcast clouds
112,Yumen,CN,40.2833,97.2,63.32,20,91,6.53,overcast clouds
113,Kodiak,US,57.79,-152.4072,47.71,87,100,4.61,overcast clouds
114,Tongzi,CN,28.7829,105.0877,69.04,92,89,0.43,overcast clouds
115,Troitsk,RU,54.0979,61.5773,56.41,37,100,12.59,overcast clouds
116,East London,ZA,-33.0153,27.9116,67.44,79,51,6.17,broken clouds
117,Tokur,RU,53.1333,132.9,38.66,67,98,1.99,overcast clouds
118,Cabo San Lucas,MX,22.8909,-109.9124,90.61,68,0,2.3,clear sky
119,Kununurra,AU,-15.7667,128.7333,73.38,83,1,0.0,clear sky
120,Hithadhoo,MV,-0.6,73.0833,82.08,64,5,3.56,clear sky
121,Raga,SS,8.4596,25.678,72.55,93,99,3.11,light rain
122,Acajutla,SV,13.5928,-89.8275,83.03,72,81,5.21,broken clouds
123,Hilo,US,19.7297,-155.09,80.28,94,100,3.44,overcast clouds
124,Vao,NC,-22.6667,167.4833,67.26,59,2,8.3,clear sky
125,Aripuana,BR,-9.1667,-60.6333,97.77,32,20,2.93,few clouds
126,Westport,US,41.1415,-73.3579,72.9,42,0,11.5,clear sky
127,Ponta Do Sol,PT,32.6667,-17.1,83.03,82,34,7.74,scattered clouds
128,Saquena,PE,-4.6667,-73.5167,91.78,54,84,2.48,light rain
129,Yulara,AU,-25.2406,130.9889,58.08,32,15,10.22,few clouds
130,Kavieng,PG,-2.5744,150.7967,81.61,73,82,12.46,broken clouds
131,Tiksi,RU,71.6872,128.8694,33.13,82,69,13.6,broken clouds
132,Bluff,NZ,-46.6,168.3333,46.8,62,74,14.81,broken clouds
133,Gizo,SB,-8.103,156.8419,80.78,78,34,8.14,light rain
134,Butaritari,KI,3.0707,172.7902,81.57,72,70,13.89,broken clouds
135,Beloha,MG,-25.1667,45.05,74.48,57,3,14.16,clear sky
136,Japura,ID,-0.3167,102.35,73.89,89,100,0.54,overcast clouds
137,Esperance,AU,-33.8667,121.9,53.44,64,73,27.38,broken clouds
138,Port Alfred,ZA,-33.5906,26.891,64.18,93,77,5.93,broken clouds
139,Marang,MY,5.2056,103.2059,75.11,80,100,3.0,overcast clouds
140,Mugur-Aksy,RU,50.35,90.5,27.95,96,85,7.23,overcast clouds
141,Callaguip,PH,18.0714,120.4867,79.72,80,3,6.53,clear sky
142,Brokopondo,SR,4.75,-55.1667,89.4,50,12,1.99,few clouds
143,Salekhard,RU,66.53,66.6019,49.64,69,100,7.63,overcast clouds
144,Borogontsy,RU,62.6683,131.1683,33.75,94,26,7.54,scattered clouds
